text,category,scaled_impact
"CASE STUDY TAKING CHILD LABOUR OUT OF FARMS Challenge Despite being the second largest producer of cotton in the world, India is still dominated by a large number of small farms; usually less than 2 acres. This small size makes automation economically unviable for majority of the farmers. The only option left is manual labour. Cotton farms in India have also involved child labour during various stages of farming: sowing, weeding and cotton picking. What makes child labour at farms different from other situations, is the fact that quite often the children work on the farms owned by their own family. Although in such situations, the work environment is slightly better than in conventional child labour, it is still robbing the children off their childhood and education. Child labour in cotton farms also have an adverse health impact on children over a period of time. Intervention At the inception of the supply chain project of Organic and BCI cotton farming at Akola, we did a detailed study by conducting field surveys in different villages, to analyse the issue of children working in the farms. WE HAVE A STRICT ANTI-CHILD LABOUR POLICY AT OUR PREMISES. WE ENSURE ZERO CHILD LABOUR AT OUR ORGANIC AND BCI COTTON FARMS. To ensure its discontinuation, we set up a dedicated team which is based in the farming area to sensitise farmers about the adverse impact of involving child labour, and benefits of education and schooling through: Â· Regular training programmes, conducting events like street plays, essay competition, film screening, children's summer camps, etc. Â· Formation of child group and its awareness training, learning group awareness training Â· Interactions with labourers to ensure that they don't send their children to work in farms Â· School visits & interaction with school authorities Our procurement policies are in line with our no child labour policy. We are also implementing mechanisation projects to reduce manual labour, thus impacting child labour. Regular visits and monitoring at the farms and the schools, ensure that no child below 18 years is employed in the farm.",Training & Development,1.0855639521403866
"DEVELOPMENT PROGRAMMES When we develop potentials that have never been tapped, we unlock productivity and passion that has never been seen. We conduct a wide array of development programmes across the organisational hierarchy. Pragati - Development Programme for Supervisors Pragati helps supervisors set expectations of their roles and responsibilities, manage self and others. The programme enhances self- awareness, inculcates skills to manage Front Line Managers (FLMs) at the workplace, helps develop better relationships for better results and boosts overall capability to become effective in their current role. We plan to train 450 supervisors under Pragati. In 2015-16, we trained 20. iRise - Junior Manager Development Programme iRise is focused towards enhancing the overall capability of individual contributors and shift managers and help them perform their role more effectively. The initiative is termed as iRise as it signifies the rise of an individual in terms of undertaking more responsibility by becoming more accountable to the organisation. 43 managers were trained under iRise in 2015-16. 37 Continuing Education Towards the end of 2015-16, we introduced a progressive continuing education policy for all management cadre employees. It encourages them to take-up higher studies and thereby upgrade their knowledge and skills. The programme is at a nascent stage right now, but we expect it to grow in the coming years. 26 employees are currently enrolled for new higher-education courses under this programme iGnite - Manager Development Programme iGnite equips managers with the requisite competence to achieve the strategic objectives of the organisation, build skills for effective problem solving and decision making, plus develop interpersonal and leadership skills for better team management. 60 managers were trained under iGnite in 2014-15. In 2015-16, an additional 34 managers were trained. Samvad - Dialogue for Development An initiative aimed at identifying and creating a high potential talent pool. Every year under Samvad, we identify and assess select employees from senior management and take them through a structured development journey. The programme includes sharing individual reports and feedback to the employee by a coach. It also includes creation of a development plan and talent review with the business head. iLead - Leadership Development Programme These programmes aide the senior management executives to hone their leadership skills, develop an attitude for success, and mould them into able professionals who can positively transform business results.",Training & Development,1.0902624604752447
"NEEV - LAYING A STRONG FOUNDATION FOR PRODUCTIVITY In the reporting period, we embarked on a new employee- excellence journey with the introduction of NEEV - a comprehensive, company-wide, competency-based standard to identify employee potential, grade their performance, and chart for them a structured career growth plan. As part of the NEEV Framework, employees have been segmented in five distinct groups based on their organisational roles. 1. Strategic leaders CEO / CXO / Corporate Function Heads 2. Functional leaders Leading Large/Multiple Functions, direct reportees to CEO, CXO, Specialists 3. Team managers Managers who have first level managers reporting into them 4. First level managers Managers who manage one or many Independent contributors 5. Individual contributors Managing work in individual capacity Requisite levels of competencies that an employee must possess under each of the group have been well-spelt out. The competencies provide an employee behaviour map, as well as identify skills that will be valued, recognised and rewarded. Training need identification, appraisal and career progression - all stem from the employee's competency proficiency level. Introduced during the reporting period, NEEV will be cascaded across the organisation in a phased manner. INDUSTRIAL RELATIONS THE CORE OBJECTIVE OF THE INDUSTRIAL RELATIONS FUNCTION IS TO STRIKE A HARMONIOUS BALANCE BETWEEN PERSONAL AND ORGANISATIONAL GOALS. WELL-MEANING INTENT, FAIRNESS AND TRANSPARENCY ARE THE KEY ENABLERS IN THIS JOURNEY. We have recognised worker unions at both our manufacturing operations - Naroda and Santej and our Industrial Relations (IR) department organises a variety of events and activities across locations to engage with the FLMs and keep them enthused.",Training & Development,1.081297375152854
"We have structured policies and processes under the various management standards pertaining to prohibition of employment of child & forced labour; freedom of association and right to collective bargaining; grievances redressal mechanism; working hours; remuneration; health & safety; discrimination; engagement & welfare initiatives; disciplinary proceedings etc. All such policies & processes have been communicated to all stakeholders (internal / external) in most amicable way. Also, we review the same from time to time and communicate the changes, if any, to all concerned stakeholders well in advance. A TEST OF IR EFFECTIVENESS AT SANTEJ Our Santej facility operates around the clock and in three shift operations. To keep the operations running smoothly, we have dedicated Industrial Relations professionals to oversee the shop-floor activities on a continuous basis. In addition, division-wise union representatives of the Textile Labour Association are also on-hand 24x7 to ensure smooth operations and effective redressal of grievances. Yet sometimes, despite our best intentions and robust practices, there are undesirable outcomes. In one such instance, a section of the FLMs suddenly went on a strike at the Santej plant, in October 2015. On closer examination, it was found that the agitation was being fuelled by an external labour union that had no legal affiliations with the FLMs at Santej. The strike was thus deemed illegal by both the state government as well as the honourable industrial tribunal. But while the judiciary was taking its course, the IR team swung into action and initiated a dialogue with the FLMs on strike. The issue was amicably resolved in two days with the FLMs coming back to work unconditionally. 39 INITIATIVE UPGRADATION OF FLM CANTEEN AT NARODA During the reporting period, we completely overhauled and upgraded the FLM canteen at Naroda. Â· A larger and better designed seating area Â· Enhanced hygiene standards in the cooking area as well as the seating area Â· Card-based access system for better management and accounting HUMAN RIGHTS To protect human rights is to ensure that people receive decent, humane treatment. We have a well-defined human rights policy that upholds the human rights of our employees and FLMs. We don't discriminate against our employees and they are free to join unions or association for the protection of their interests. We do not employ children at workplaces and do not use forced labour in any form. During the year, there were no instances of reported human rights violations or gender discrimination. ",Labour Relations & Union Practices,1.117591700256743
"SAFETY WE CONTINUOUSLY INVEST IN THE SAFETY AND HEALTH OF OUR FLMS AS WE BELIEVE THAT PEOPLE ARE OUR BIGGEST ASSETS AND THEIR WELL-BEING IS FIRST ON OUR PRIORITY LIST. STAUBLI 2 TOPMATIC The Santej unit received BS OHSAS 18001:2007 certification during the reporting period. In the textile industry, due to the inflammable nature of our raw materials, fire is a key risk. A comprehensive fire protection system has been implemented at all our facilities with the objective to prevent fire in the first place and in case of any incident, mitigate its spread and extinguish it at the earliest. Additionally, we have introduced SOPs that are common to many industries, but are not usually seen in textile facilities. This includes work permit systems, use of industry-grade Personal Protection Equipment like safety shoes and masks. We also iterated our focus on safety to everyone in the production line by starting a series of weekly safety meets to take stock of on-ground situations and address them in a timely manner.","Employee Health, Safety & Wellness",1.097502603467809
"A CLEANER, HEALTHIER & SAFER WORKPLACE | NARODA Challenge To boost safety, productivity and overall morale by enhancing cleanliness at workplace and at the shop-floor where thousands of employees and FLMs work every day. The challenge is compounded because the shop-floor is inhabited by three sets of FLMs as the manufacturing facility operates all three shifts. Intervention We launched the 'Swachh, Swasth, Surakshit' (Clean, Healthy, Secure) programme at Naroda with an aim to: Healthy competition is a continual source of motivation and therefore we gamified cleanliness and safety. Created teams and introduced a system of audit, points and rewards. POHMING TEAM OF THE MONTH WEAVING * BEST PERFORMING TEAM WEAVING - HIGH SPEED LOOMS Â· Multiple teams have been formed across various processes Â· Each team has a supervisor or a foreman whose job is to ensure that the team maintains optimum levels of cleanliness, safety and quality in their respective shop-floors Â· Regular as well as surprise audits are conducted and the groups are given points on all three aforementioned parameters Â· Based on the scores and feedback of department heads, every month the best performing team, the best 6S zones and the best individual contributors are identified and felicitated with certificates and a rolling trophy 41 ","Employee Health, Safety & Wellness",1.0814498966059387
"COMBATING FIRE INCIDENTS SANTEJ Challenge In textile factories, most of the materials - raw materials, semi-finished and finished goods are flammable. Even the processes are prone to instigate fire. It is therefore of utmost importance that fire prevention is well-implemented and in the unlikely event of fire, well-thought out protection is available. Intervention A state-of-the-art fire protection system has been installed at our Santej facility. It includes equipment to actively detect fire and well-established systems to control a fire if it were to ever occur. Also part of the exercise was the rationalising of components to curb the spread of the fire and training the staff. ÐÐ¯ Salient Points of the Fire Protection System Â· Extra vigilance to manage fire triggers viz. phasing out loose electrical wire. Â· Strengthening access to firefighting equipment and reinforcement of mock drills Â· Mutual aid with Vadsar Air Force Base to assist one another in the event of any emergency Â· Conducting various fire awareness drive viz. fire demonstration and training Â· Installation and revamping of fire hydrants systems as well as interconnection of fire hydrants systems Â· Segregation of materials incompatible with one another Â· Implementation of permit to work system for hot work fire safety STEAM INERTISATION SYSTEM Steam inertisation system has been installed at various processing machines at Santej facility to mitigate the spread of accidental fires. Extra steam lines measuring 1-inch in diameter have been grouped from the main steam lines so that even a layman can use them in the event of fire. 10 Earlier, the facility witnessed frequent fire incidences in the processing machines due to their temperature exceeding 150â. 43 ","Employee Health, Safety & Wellness",1.0809647239852616
"SAFETY & EMERGENCY PREPAREDNESS | SANTEJ Challenge The process of converting fibre into fabric is a complex one and does expose the workforce to a number of occupational hazards. Thus, for our Santej unit the commitment to achieve 'Zero Accidents' was followed with a checklist of challenges right from ensuring robust safety policies, processes, and infrastructure to embedding safety awareness among workforce. Intervention The only way to bring about a lasting impact in our safety performance, is to root out hazards at the bud. A comprehensive safety management plan has been implemented at Santej which incorporates best practices to address all key enablers of safety excellence: policies & processes, infrastructure management, awareness & training, implementation & audit, emergency preparedness. SAUTUR BUR SAVIOUR Salient features of safety management Â· Rigorous safety inspections covering all units at least once in a month Â· Implementation of 'permit to work' system for high risk activities viz. working on heights, Confined space entry, etc. Â· Conductance of safety committee meeting for deliberation on various safety issues, and inspection reports Â· Corrective/preventive actions on scores of unsafe conditions/actions Â· Extensive trainings to FLMs as well as staff employees in accordance with their need Â· Counselling of ER members on various safety aspects Â· Provision of requisite Personal Protective Equipment Â· Comprehensive accident investigation system to find out root cause for preventing accident reoccurrence 45","Employee Health, Safety & Wellness",1.0854566381434905
"STRENGTHENING OF WORK PERMIT SYSTEM Various ongoing maintenance and construction related activities were major contributors to the overall accident numbers. We implemented a work permit system during the reporting period, which helped us govern the safety measures that are required for a particular task according to the risk analysis carried out by Safety Department for that particular work. We also implemented 'Lock-Out-Tag-Out' procedures for any maintenance activity to be carried out in hazard prone areas. INTRODUCTION OF WEEKLY MEETINGS & DEPLOYMENT OF PPE Upon analysis of several incidents from 2013-14, it was observed that a lot of injuries could have been avoided if the workmen were adhering to the stipulated use of PPEs. One of the key intervention implemented over 2015-16 was strict enforcement and counselling on adherence to PPE usage which included upgrade of several PPE to better quality materials - especially safety shoes, ear plugs and masks. Additionally, a weekly meeting of all the department heads is being organised to discuss the accidents and incidents during the past week, their investigation reports and corrective action taken in view of the incidents. These two initiatives led to improvement in working conditions by eliminating unsafe conditions as well as PPE helped in reduction in injuries. Outcomes 55.08% REDUCTION IN AFR 52.25% REDUCTION IN ASR AFR - Accident Frequency Rate | ASR - Accident Severity Rate IN FY 2015-16 AS AGAINST FY 2014-15 46 ","Employee Health, Safety & Wellness",1.0796687912535754
"UPGRADATION OF OCCUPATIONAL HEALTH CLINIC | SANTEJ Challenge The occupational health centre at Santej was capable of handling only primary treatments and in case of major injuries, ailments or emergencies, the patients were required to be shifted to other health facilities in Kalol or Ahmedabad city which are approximately 45 minutes to one hour away. Intervention During the reporting period, in accordance with the Rule 68-U of Gujarat Factories Rules-1963, we upgraded our Occupational Health Centre (OHC) into a state-of-the-art facility that can also cater to more severe medical emergencies. Nime Facilities at the OHC Â· A ward of 6 beds, and medical stock to treat various occupational injuries and ailments Â· Equipment to conduct advanced tests like pulmonary function, ECG, Audio metric, Vision test etc. Â· A medical team consisting of a full time as well as part-time doctors assisted by a nursing staff of 7 members. Â· An additional ambulance with all requisite medical emergency equipment Â· In-house medical checkup (Pre-employment, Periodic) of all employees (Approx. 1,500 employees completed till date) Â· Availability of first aid treatment with cardio pulmonary resuscitation to patient suffering heart attack, electrical shock Â· Treatment of occupational injuries with minor operation i.e. Stitches on cut wound, first line treatment of head injury, burns injury treatment, etc. Â· Provision of transferring serious patients through ambulance We have also opened the usage of this upgraded OHC to workers of neighbouring factories.","Employee Health, Safety & Wellness",1.049390727171971
"SOCIETY OUR CSR VISION TO IMPACT POSITIVELY, THE QUALITY OF LIFE OF PEOPLE, THROUGH INITIATIVES OF SOCIAL, ECONOMIC, HEALTH, EDUCATIONAL, INFRASTRUCTURAL, ENVIRONMENTAL & CULTURAL ADVANCEMENT, Just like democracy, for a company to be sustainable, it has to be of the people and for the people. So while 'of the people' is our unwavering employee focus, 'for the people' is our unflinching commitment to local communities and the society at large. Our approach to Corporate Social Responsibility (CSR) is based on our conviction that corporations and society are interdependent. Social responsibility thus permeates all business functions creating a 'corporate social integration'. ArVIND FOUNDATION We are committed to put in place a strategy to ensure financial sustainability to all our CSR initiatives. We plan to achieve this through creation of a large corpus fund over a period of time. ARVIND FOUNDATION In August 2015, we incorporated Arvind Foundation as a Section 8 Company to act as the umbrella organisation to all our CSR efforts. In line with Section 135 of Companies Act, 2013, we spent INR 72.7 million on our CSR activities during FY 2015- 16. This includes INR 51.4 million invested in the corpus of Arvind Foundation. URBAN CSR SHARDA Trust Shree Chandraprasad Desai Memorial Foundation (SCDMF) CKNL Trust RURAL CSR NLDRF Part of Agri Initiatives 51 ",Community Development,1.0470552443298282
"SHARDA TRUST AND OTHER TRUSTS The Strategic Help Alliance for Relief to Distressed Areas Trust (SHARDA Trust), set up in 1995, is the organisational base for our urban CSR programmes. As a registered public charitable trust, the broad objective is to improve the quality of life of the urban poor in India. SHARDA TRUST'S MODEL Partnership with the Local Government Â· MoU with local school board Â· MSB allows use of infrastructure & provides electricity free of cost Â· Providing teaching hours Supportive Infrastructure Â· Upgrading school infrastructure Â· Establishing quality computer lab Â· Projection facility (LCD monitor) Â· Internet for faculty & students Â· Ergonomic furniture Â· Neat and clean classrooms Innovative Method & Materials Â· Teaching Eng, Comp & Maths Â· Teaching approach based on student's strength Â· Real life example, practical knowledge Â· Subject's reinforcement Â· Teaching by trust's teachers Â· Using computers in teaching Monitoring, Evaluation & Tracking Â· Teaching days, schedules, curriculum, tests & evaluation criteria pre-defined Â· Tracking student's attendance & performance Â· Following up irregular & weak students Â· Interaction with parents NAROTTAM LALBHAI RURAL DEVELOPMENT FUND (NLRDF) Working on programmes of social renewal for rural and tribal poor since over 35 years. It is structurally working under a Board of Trustees, the Chairman of which is directly responsible for the overall policy direction and guidelines for the trust. NLRDF carries out operations in various sectoral areas like Education & Skill Building, Agriculture & Animal Husbandry, Rural Infrastructure and Health & Well-being. Narottam Lalbhai Rural Development Fund Education & Skill Building Adult education, vocational training of handicapped persons, non-formal education Agriculture & Animal Husbandry Irrigation projects, horticulture, fodder development, animal husbandry, biogas plants, strengthening rural industries Rural Infrastructure Rural electrification (street and agriculture related), roads, watershed development Health & Well-being Medical services, health care, nutrition, sanitation & disease control, AIDS awareness and prevention, women empowerment, women & child development, relief & rehabilitation after calamities SHREE CHANDRAPRASAD DESAI MEMORIAL FOUNDATION (SCDMF) Based in Bapunagar, Ahmedabad conducts vocational skill development courses to enable social, economic and cultural development of the industrial areas. It has so far trained about 250 urban youth and has facilitated placements for a majority of them.",Community Development,1.0356749985426366
"FOCUS AREAS OF SHARDA TRUST We believe in spearheading programmes, and not projects. The objective is to institutionalise systemic change, not symptomatic band-aid. We aim to make a lasting difference to the lives of people, even if it sometimes takes years in the making. Our corporate headquarters and two of our biggest manufacturing facilities are based in and around Ahmedabad, and thus most of our initiatives are centred in these regions. To ensure that we don't spread ourselves too thin we have zeroed in on three impact areas: 1 <+ EDUCATION 2 PRIMARY HEALTHCARE 3 DEVELOPING VOCATIONAL SKILLS EDUCATION Education is the most powerful tool in the fight against poverty and social evils. An educated generation will be the last generation in poverty. It is also a gift that once given stays with the recipient for their entire life. GYANDA PROGRAMME Broadly, there are three kinds of education models: Â· Formal schools set up by local and national governments Â· Informal education facilitated through volunteers, educationist or NGOs Â· Tuition classes that supplement school education and concentrate on specific subjects Setting up schools or tuition centres involves large investment in land and infrastructure. The quantum of investment results in few schools and limited impact. Volunteering efforts may be noble in intention but are limited in longevity. Mindful of the limitations of each of the education models, the education experts at SHARDA Foundation designed the Gyanda programme - a new hybrid model that is mix of supplementary education and formal school set-up. Arvind Ltd. has been supporting the Gyanda Programme since its inception in 2006. Leveraging existing infrastructure Gyanda has been specially designed to supplement the education of children studying in Municipal Schools and support them to complete the school and college education. The aim is to improve their academic performance and overall personality while ensuring that children don't drop out and complete their basic education from classes 5 to 12. A financial support programme has also been developed to aid underprivileged students. Approach Â· Increase the enrolment of children of the urban poor into the programme Â· Inject technology in municipal schools by providing computer laboratories, projection facilities and internet access for staff and students in schools Â· Lay emphasis on efficient and effective functionality of the programme, leading to substantial impact in student lives The Gyanda programme is unique because no other supplementary education model tracks the performance of all its students while maintaining direct contact with the parents for the entire schooling journey of 6-8 years and beyond for higher education.",Community Development,1.0405232538440008
"Interventions Primary School Programme This programme works with the students of class 5, 6 and 7 studying in a number of municipal schools in Ahmedabad through two-hour long support classes on Gujarati, Maths, English and Computers conducted by SHARDA teachers within the municipal school premises and also through an education support centre where students from multiple schools attend. Secondary School Programme The academic curriculum expands tremendously after class 8 and requires a lot of personalised attention and subject-wise coaching. We conduct 3-hour classes for these students after school hours. Currently, there are 2 centres where these classes are conducted. Admission Facilitation & Financial Support We facilitate admissions in higher classes in various schools as per the merit and choice of the students. Exceptions are also made for students who have shown great interest and perseverance in studies. We also provide comprehensive support which includes payment of education fees, financial support to buy uniforms, books and stationery. Scholarships to Pursue Professional Degrees We even lend financial support to meritorious and needy students for pursuing higher education in professional streams like commerce, engineering, nursing etc. Impacts 1,000+ students covered 380 students from various schools 405 students sponsored across standards 8 and 12 39 students were pursuing graduation in their field of interest In 2016, Gyanda completed a decade of public service, and we undertook an extensive study to gauge the impact of the programme on the lives of the students and the community they come from",Education,1.0287941738486723
"PRIMARY HEALTHCARE Healthcare in India continues to be a trade-off between availability, affordability and quality - if it is available and affordable, the quality is suspect; and if it is available and of good quality, it is seldom affordable. Even in urban areas, there are pockets where healthcare services are not easily available or affordable. Keeping this in mind, SHARDA Trust signed an MoU with Swasth Foundation to set up primary health centres, called Arvind Clinics, in the urban slum areas of Ahmedabad. Swasth is Mumbai's largest non-governmental provider of primary healthcare and dental care and has a rich experience of working in diverse business and social scenarios. ARVIND CLINICS + Swasth Indi Health for all Swasth Foundation The Arvind Clinics are designed to act as one-stop solutions for all primary medical needs of people. These clinics will provide following services at highly affordable charges: + 90 99 28 10 08 HEALTH + CLINIC UNEL one ArVIND HEALTH CLINIC + POWERED BY ArVIND -------- - dowould : 90 99 28 1008 ... 09-28209129 Doctor (consultation) A trained doctor will be available to diagnose the ailment and differentiate between minor cases and severe ones Dental care It has been found that dental problems is one of the major ailment-groups in impoverished areas. A dentist with a basic dental engine set-up will be available to handle such cases Diagnosis (Pathological Tests) Many a time, pathological tests end up becoming costlier than doctor's consultation. Moreover, when the doctor prescribes a test, there is always a chance that the patient will neither get them done due to cost constraints, nor will they come for follow-up visit. To prevent this, Arvind Clinics will provide in- house diagnostic services at very affordable rates. Drug (Strip Packed Quality Medicines) For minor ailments, the medicines will be provided through a pharmacy within the clinic set-up Daytime Care Provision for daytime observation, when required AS PER OUR CALCULATIONS, THE MODEL WILL COST A PATIENT ABOUT INR 100 WITH DIAGNOSIS AND THREE DAYS' WORTH OF MEDICINES - WHICH IS ABOUT ONE-THIRD OF WHAT THEY ARE SPENDING NOW. Three Arvind Clinics are expected to be functional in Ahmedabad within a period of 18 months, starting from April 2016. In all, 10 such centres have been envisaged for the city. Each centre is expected to serve about 40 patients per day - thereby serving 10,000 - 12,000 patients every year.",Access to Services,1.0238926196190035
"DEVELOPING VOCATIONAL SKILLS The youth are the workforce of today and growth engines of tomorrow. But for them to fully actualise their potential, they need to be equipped with the right knowledge and skill set to be able to contribute to the growth of the nation. Our Youth Advancement Programme, one of our newer initiatives, aims to provide the youth of Ahmedabad a learning platform to acquire knowledge and skills. It is carried forward in four phases: IMPART KNOWLEDGE | DEVELOP SKILLS | INCULCATE VALUES | MEASURE PERFORMANCE To begin with, we are spearheading programmes like: Basic English | Computer Familiarisation | Musical Instrument Training 030 Dashboard of Youth Advancement Programme | 2015-16 Our journey is skill building as a social initiative, has only just begun. But we envision rich dividends from these programmes in the years to come. ",Developing Vocational Skills,1.0540587340645002
"In March 2015, Credit Analysis and Research Ltd. (CARE) awarded A1+ rating to Arvind Ltd.'s commercial papers worth INR 7 billion Capital is the fundamental building block of any corporate. A key resource essential for a business to start up, scale up, branch out, think beyond as well as leap forward. At Arvind, we put money where our heart is and follow a 'financial prudence first' strategy. For 85 years now, we have been using different financial tools to access capital for expansion and growth. WE CAREFULLY INVEST IN EXPANSION OF OUR CAPACITIES, NURTURING OUR TALENT POOL, ADVANCING IN TECHNOLOGY, EMPLOYMENT GENERATION AND GIVING BACK TO THE COMMUNITY AS WELL AS THE ENVIRONMENT. This is testament to the strong growth potential associated with our diversified brand portfolio and the widespread retail distribution network. AMIND Arving SHIRTING ArvInc INNOVATION IN FABRICS RPLETE INATION 1931 OUR PURSUIT OF PROFITS IS POWERED BY AN UNCOMPROMISING FOCUS ON INTEGRITY, INCLUSIVITY AND INNOVATION. 61 This 360Â° asset building strategy not just ensures enough muscle to manoeuvre through the diverse expectation of our clients, maximise value for our stakeholders and maintain leadership position but also enables us to pay key contribution to the growth of textile industry as well as to the country's development. Time and again we have used capital for bringing innovation to textile industry besides using it in our daily operations. Starting with a share capital of â¹2.5 million in 1931, we floated a Euro issue of USD 125 million in 1990s after liberalisation, to fuel the growth of denims and high quality fabrics in the international market. We made the first direct access in international debt market in 1995-96 to raise USD 15 million term loan to build our zero- discharge facility at Santej, Ahmedabad. Following debt restructuring in 2001- 2002, we achieved the highest profitability in our history till then. Money has been powering our growth even today, as we move from our capital-intensive textile business to an asset-light, consumer-centric model, which focusses on brands and retail. ",Long term Viability of Core Business,1.0982175582988796
"All figures for FY 2015-16 ECONOMIC VALUE Strong financial performance is key to sustainable growth. The more value we generate, the more we can distribute to our stakeholders and the more we can invest in sustainable innovation. Value creation is hence material for Arvind as it directly affects our stakeholders including employees, local communities, and investors. Here is a summary of our economic value generated, distributed and retained in the reporting period. Note: During the reporting period, we received government subsidies worth INR 222.1 million OVER THE LAST 5 YEARS, WE HAVE ACHIEVED ROBUST REVENUE GROWTH, WHILE MAINTAINING MARGINS, RETURNS AND A STABLE LEVERAGE We started with a share capital of â¹ 2.5 million in 1931 we floated a Euro issue of USD125 million in 1990s after liberalisation, to fuel the growth of denims and high quality fabrics in the international market.",Long term Viability of Core Business,1.1021973706927943
"Going ahead, over the next five years, Arvind's value creation agenda will be driven by: DIVIDENDS Dividend pay-outs not only signal financial strength of the company, but also its maturity in consistent sales and profits. In the reporting period, Arvind continued to recommended dividend to its shareholders. FY 13-14 FY 14-15 FY 15-16 R&D We have been consistently declaring dividends over last five years In today's globally competitive market where organisations need to keep innovating, R&D becomes a crucial component in developing new competitive advantages. We have two R&D centres - at Naroda and Santej, which fuel our drive for new products, processes and technologies. These centres are fully recognised and approved by the Department of Scientific and Industrial Research, Ministry of Science and Technology, Government of India. Arvinn The details of capital and revenue expenditure incurred on Research and Development are as under: 63 OUR R&D CENTRES ARE FULLY RECOGNISED AND APPROVED BY THE DEPARTMENT OF SCIENTIFIC AND INDUSTRIAL RESEARCH, MINISTRY OF SCIENCE AND TECHNOLOGY, GOVERNMENT OF INDIA. ","Research, Development & Innovation",1.05103052743638
"LOCAL PROCUREMENT AND HIRING Sustainable and responsible local procurement is one of the methods we use to build a resilient supply chain and bring about a significant social and economic contribution to the community. By procuring locally, we are doing a lot of things together: we are creating employment for the community's workforce, developing the skill base, creating industrial diversity and growth by generating demand, supporting sustainability of businesses and economy through supply of goods and services, and alleviating environmental concerns by reducing distances. 65 In the reporting period, almost all our significant (top ten by monetary amount) supplies were sourced domestically (i.e. from within the country). We also encouraged and supported employment of people from within nearby communities. Our senior management consists entirely of Indian citizens, and our employees and workmen are predominantly from the communities where our manufacturing facilities are located. While local procurement is something we deeply believe in, we still have to source a sizeable quantity of cotton from outside India. This is because quite a few of our customers demand for particular varieties of cotton like Egyptian, Australian and Brazilian owing to their special characteristics. Nonetheless, we continue to engage local talents to process these cottons. Moreover, we are also collaborating with local farmers and technology companies to replicate cotton of similar qualities within India in the coming years.",Supply Chain Standards & Selection,1.0662465340379468
"Ecological imbalance, sluggish pace of progress, increasing energy costs, and spiralling health issues - the implications of use, overuse, and abuse of energy are not just hindering the environment but also the business and the society. At Arvind, we believe that energy is both an enabler and a bottleneck for business growth. While it largely remains as an inimitable resource, the demand-supply deficit may cause hiccups in the long-term business continuity. OVER THE YEARS, WE HAVE BEEN SUCCESSFUL IN IMPROVING OUR ENERGY PRODUCTIVITY BY INVESTING IN ENERGY EFFICIENT PROCESSES P.EA WEATHER PROOF kWh 13725 WATTHOUR METER SINGLE PHASE 2-WIRE CLASS 2.0 TYPE FA33 M 220 V 15(45)A 50 Hz 400 rev/kWh 2010 L.L+ 69 IF.L The aim is to entrench a AND PRACTICES. 'continuous conservation culture'. 60,400 kWh CUMULATIVE POWER SAVINGS IN BENGALURU THROUGH DAYLIGHT HARVESTING SYSTEM - FY 2014-15 AND FY 2015-16 3 million kWh ANNUAL POWER SAVING THROUGH INTRODUCTION OF LED LAMPS AT SANTEJ ISO-50001:2011 certification ARVIND IS THE FIRST INDIAN COMPANY TO GET THE CERTIFICATION IN THE 'COMPOSITE TEXTILE INDUSTRY-DENIM FABRIC' CATEGORY 11.78% DECREASE IN GHG EMISSIONS (DIRECT+INDIRECT] AT NARODA IN FY 2015-16",Energy Management,1.0357256486712587
"We have put in practice a business-wide Energy Policy with a commitment to continually improve the energy performance of all units of Arvind. Objectives and targets are being set and reviewed to maximize the outcome of every unit of energy consumed. To ensure effective implementation of this policy, we have also instituted the Energy Conservation Cell which is overseen by the CEO. OUR ENERGY STRATEGY 'LESS WATT PER METER' This approach manifests into multiple tangible benefits. 1 Improved Energy Security 2 Reduced Energy Costs 3 Enhanced Productivity 4 Lower Emissions In the reporting period, our operating unit at Santej achieved an encouraging reduction in specific electricity consumption. As compared to FY 2013-14, the energy use per meter of production reduced by 8% at Santej. GOING AHEAD, WE WILL CONTINUE TO CONDUCT ENERGY AUDITS FOR ALL UNITS IN ORDER TO IDENTIFY AND IMPLEMENT FURTHER OPPORTUNITIES TO MINIMISE THE WASTEFUL USE OF POWER. WE ALSO AIM TO ADD RENEWABLE POWER TO OUR ENERGY MIX.",Energy Management,1.0344058332758008
"AT ARVIND, ENERGY PRODUCTIVITY FOCUSES ON ACHIEVING GREATER ECONOMIC OUTPUT FROM EACH INDIVIDUAL UNIT OF ENERGY. THIS HELPS ACHIEVE THE DUAL OBJECTIVE OF DE-LINKING ECONOMIC GROWTH FROM COMMENSURATE GROWTH IN OUR ENVIRONMENTAL FOOTPRINT. CONSUMPTION ENERGY At Arvind, we primarily depend on energy in three forms: coal, electricity and Compressed Natural Gas (CNG). Accordingly, we measure the energy consumption of our operations in two broad categories: Direct Energy The energy we generate ourselves through combustion of fuels such as coal and CNG Indirect Energy The electricity we purchase from the grid Greater disclosures lead to better measurement which in turn leads to better management. Starting this report, we have reinforced our energy accountability by including several smaller units in to our reporting boundary. 4,202.12 4,164.18 TOTAL DIRECT ENERGY CONSUMPTION in TJ 3,765.25 2013-14 2014-15 2015-16 453,518 2013-14 488,331 2014-15 480,282 2015-16 *Excluding Electronic City data 71 ",Energy Management,1.0342468559439502
